row,col,code,name
6,7,AL,Alabama
1,1,AK,Alaska
6,2,AZ,Arizona
6,5,AR,Arkansas
6,1,CA,California
5,3,CO,Colorado
2,10,CT,Connecticut
4,11,DE,Delaware
7,9,FL,Florida
6,8,GA,Georgia
8,1,HI,Hawaii
4,2,ID,Idaho
4,6,IL,Illinois
4,7,IN,Indiana
4,5,IA,Iowa
5,4,KS,Kansas
5,7,KY,Kentucky
7,5,LA,Louisiana
1,12,ME,Maine
5,10,MD,Maryland
2,11,MA,Massachusetts
3,7,MI,Michigan
3,5,MN,Minnesota
6,6,MS,Mississippi
5,5,MO,Missouri
3,2,MT,Montana
4,4,NE,Nebraska
5,1,NV,Nevada
1,11,NH,New Hampshire
3,10,NJ,New Jersey
6,3,NM,New Mexico
2,9,NY,New York
5,9,NC,North Carolina
3,3,ND,North Dakota
4,8,OH,Ohio
6,4,OK,Oklahoma
4,1,OR,Oregon
3,9,PA,Pennsylvania
3,11,RI,Rhode Island
6,9,SC,South Carolina
3,4,SD,South Dakota
5,6,TN,Tennessee
7,4,TX,Texas
5,2,UT,Utah
1,10,VT,Vermont
4,9,VA,Virginia
3,1,WA,Washington
5,8,WV,West Virginia
3,6,WI,Wisconsin
4,3,WY,Wyoming
4,10,DC,District of Columbia
