"name","code","row","col"
"Alba","AB",3,3
"Arad","AR",3,2
"Arges","AG",5,4
"Bacau","BC",3,6
"Bihor","BH",2,2
"Bistrita Nasaud","BN",2,5
"Botosani","BT",1,7
"Brasov","BV",4,4
"Braila","BR",5,7
"Buzau","BZ",5,6
"Caras Severin","CS",5,1
"Calarasi","CL",7,6
"Cluj","CJ",2,4
"Constanta","CT",6,8
"Covasna","CV",4,5
"Dambovita","DB",6,4
"Dolj","DJ",7,3
"Galati","GL",4,7
"Giurgiu","GR",7,5
"Gorj","GJ",5,2
"Harghita","HR",3,5
"Hunedoara","HD",4,2
"Ialomita","IL",6,7
"Iasi","IS",2,7
"Ilfov","IF",6,6
"Maramures","MM",1,4
"Mehedinti","MH",6,2
"Mures","MS",3,4
"Neamt","NT",2,6
"Olt","OT",6,3
"Prahova","PH",5,5
"Satu Mare","SM",1,3
"Salaj","SJ",2,3
"Sibiu","SB",4,3
"Suceava","SV",1,6
"Teleorman","TR",7,4
"Timis","TM",4,1
"Tulcea","TL",5,8
"Vaslui","VS",3,7
"Valcea","VL",5,3
"Vrancea","VR",4,6
"Bucuresti","B",6,5
